title,original_language,release_year,release_month,runtime,genre,averageRating,budget,revenue,agg_profit,norm_revenue
Dreamcatcher,en,2021,3,134,"Drama,Horror,Sci-Fi",5.5,68000000.0,75685268.0,7685268.0,37842634.0
Endless Love,zh,2021,3,116,"Drama,Romance",4.9,20000000.0,34718173.0,14718173.0,17359086.5
Rent,pt,2021,3,135,"Drama,Musical,Romance",6.8,40000000.0,31670620.0,-8329380.0,15835310.0
After Hours,en,2021,2,97,"Comedy,Crime,Drama",7.6,4500000.0,10624419.0,6124419.0,5312209.5
The Best of Me,en,2021,2,118,"Drama,Romance",6.7,26000000.0,41059418.0,15059418.0,20529709.0
The Reckoning,en,2021,2,63,"Crime,Drama",4.8,3500000.0,465177.0,-3034823.0,232588.5
What If,en,2021,2,98,"Comedy,Romance",6.8,11000000.0,9814566.0,-1185434.0,4907283.0
The Island of Dr. Moreau,en,2021,1,99,"Adventure,Fantasy,Horror",5.9,40000000.0,27682712.0,-12317288.0,13841356.0
Wrong Turn,en,2021,1,84,"Horror,Thriller",6.1,10000000.0,28649556.0,18649556.0,14324778.0
Late Night,en,2021,1,102,"Comedy,Drama",6.5,4000000.0,22373378.0,18373378.0,11186689.0
The Haunting,en,2021,1,112,Horror,7.4,80000000.0,180188905.0,100188905.0,90094452.5
Circle,en,2020,12,72,"Drama,Family",5.3,2000000.0,10024.0,-1989976.0,3341.3333333333335
The Shallows,no,2020,12,86,"Action,Drama,Horror",6.3,13000000.0,118763442.0,105763442.0,39587814.0
Hoot,en,2020,12,91,"Adventure,Comedy,Family",5.5,15000000.0,8224998.0,-6775002.0,2741666.0
Breakdown,en,2020,11,76,"Crime,Drama,Film-Noir",6.2,36000000.0,50159144.0,14159144.0,16719714.666666666
Gone,en,2020,11,80,Thriller,7.1,19000000.0,18100189.0,-899811.0,6033396.333333333
Triangle,en,2020,11,87,Drama,5.7,12000000.0,1594955.0,-10405045.0,531651.6666666666
Freaky,en,2020,11,102,"Comedy,Horror,Thriller",6.3,6000000.0,18073433.0,12073433.0,6024477.666666667
Enchanted,en,2020,10,96,Comedy,4.9,85000000.0,340384141.0,255384141.0,113461380.33333333
Captive,en,2020,10,98,"Crime,Thriller",4.6,2000000.0,2791973.0,791973.0,930657.6666666666
Come Play,en,2020,10,96,"Drama,Horror,Mystery",5.8,9000000.0,12624174.0,3624174.0,4208058.0
The Call,en,2020,10,71,Drama,5.9,12800000.0,69821476.0,57021476.0,23273825.333333332
The Shadow,en,2020,10,63,Mystery,5.7,40000000.0,31835600.0,-8164400.0,10611866.666666666
The Relic,en,2020,10,110,"Horror,Mystery,Sci-Fi",5.8,60000000.0,33956608.0,-26043392.0,11318869.333333334
Noah,fr,2020,10,130,"Family,History,Musical",5.5,130000000.0,352831065.0,222831065.0,117610355.0
Clean,en,2020,10,90,"Drama,Music,Romance",6.8,10000.0,138711.0,128711.0,46237.0
Stuck,en,2020,10,96,Drama,7.5,5000000.0,67505.0,-4932495.0,22501.666666666668
The Howling,en,2020,9,91,Horror,6.5,1000000.0,17985130.0,16985130.0,5995043.333333333
Alive,en,2020,9,128,"Biography,Drama,Thriller",7.1,32000000.0,36299670.0,4299670.0,12099890.0
The Return,en,2020,9,70,Drama,7.3,15000000.0,5953886.0,-9046114.0,1984628.6666666667
Fuel,en,2020,8,90,Documentary,7.4,2500000.0,174255.0,-2325745.0,58085.0
The New Mutants,en,2020,8,94,"Action,Horror,Mystery",5.3,67000000.0,47535251.0,-19464749.0,15845083.666666666
The Cell,fr,2020,8,107,"Crime,Horror,Sci-Fi",6.4,35000000.0,104102747.0,69102747.0,34700915.666666664
Home Movies,en,2020,8,90,Comedy,5.0,400000.0,89134.0,-310866.0,29711.333333333332
The Circle,en,2020,7,71,"Comedy,Drama",6.4,18000000.0,45497689.0,27497689.0,15165896.333333334
Red,ru,2020,7,89,"Crime,Drama,Thriller",6.4,60000000.0,196439693.0,136439693.0,65479897.666666664
Milk,en,2020,6,\N,\N,4.4,20000000.0,57293371.0,37293371.0,19097790.333333332
Unfinished Business,en,2020,6,96,"Comedy,Musical,Romance",6.4,35000000.0,13214051.0,-21785949.0,4404683.666666667
Panic Room,en,2020,5,112,"Crime,Drama,Thriller",6.8,48000000.0,196308367.0,148308367.0,65436122.333333336
Choke,en,2020,5,98,"Documentary,Sport",7.4,3400000.0,4124277.0,724277.0,1374759.0
Mommy,en,2020,5,89,"Horror,Mystery,Thriller",4.8,4900000.0,17536004.0,12636004.0,5845334.666666667
