,id,title,original_language,overview,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,genre_names,release_month,release_year,profit
53,502416,Ma,en,"Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town, to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own.",2019-05-29,23.93,1823,5.8,5000000,51749995,99,Released,"Horror, Thriller",5,2019,46749995
54,531309,Brightburn,en,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",2019-05-09,41.383,2566,6.1,6000000,32893421,91,Released,"Horror, Science Fiction, Thriller",5,2019,26893421
55,480414,The Curse of La Llorona,en,A social worker dealing with the disappearance of two children fears for her own family after beginning the investigation.,2019-04-17,90.991,1998,5.7,9000000,122033739,93,Released,"Horror, Thriller",4,2019,113033739
56,553141,The Head Hunter,en,"On the outskirts of a kingdom, a quiet but fierce medieval warrior protects the realm from monsters and the occult. His gruesome collection of heads is missing only one - the monster that killed his daughter years ago. Driven by a thirst for revenge, he travels wild expanses on horseback. When his second chance arrives, it’s in a way far more horrifying than he ever imagined.",2019-04-05,10.016,234,5.3,30000,44652,72,Released,"Fantasy, Horror",4,2019,14652
57,157433,Pet Sematary,en,"Dr. Louis Creed and his wife, Rachel, move from Boston to Ludlow, in rural Maine, with their two young children. Hidden in the woods near the new family home, Ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried.",2019-04-04,32.935,2765,5.7,21000000,112399944,101,Released,"Horror, Thriller",4,2019,91399944
58,458723,Us,en,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",2019-03-14,41.601,6169,7.0,20000000,255105930,116,Released,"Horror, Mystery, Thriller",3,2019,235105930
59,512196,Happy Death Day 2U,en,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone.",2019-02-13,30.925,2876,6.3,9000000,25327500,100,Released,"Comedy, Horror, Science Fiction",2,2019,16327500
60,532671,The Prodigy,en,A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.,2019-02-06,19.045,847,6.2,6000000,21150265,92,Released,"Horror, Thriller",2,2019,15150265
61,522681,Escape Room,en,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.",2019-01-03,36.573,3924,6.5,9000000,155712077,100,Released,"Horror, Mystery, Thriller",1,2019,146712077
62,434555,The Possession of Hannah Grace,en,"When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses.",2018-11-29,31.136,1094,5.5,7700000,41036181,86,Released,"Drama, Horror",11,2018,33336181
